Country,FechasF,AD,Years,Months,Days
 Liechtenstein,1886-08-15,2022-05-31,135,1629,49597
 Lithuania,1918-02-16,2022-05-31,104,1251,38090
 Lithuania,1990-03-11,2022-05-31,32,386,11769
 Madagascar,1960-06-26,2022-05-31,61,743,22619
 Malawi,1964-07-06,2022-05-31,57,694,21148
 Malaysia,1957-08-31,2022-05-31,64,777,23649
 Maldives,1965-07-26,2022-05-31,56,682,20763
 Mali,1960-09-22,2022-05-31,61,740,22531
 Malta,1964-09-21,2022-05-31,57,692,21071
 Marshall Islands,1979-05-01,2022-05-31,43,516,15736
 Mauritania,1960-11-28,2022-05-31,61,738,22464
 Mauritius,1968-03-12,2022-05-31,54,650,19803
 Mexico,1810-09-16,2022-05-31,211,2540,77324
 Micronesia,1986-11-03,2022-05-31,35,426,12993
 Moldova,1991-08-27,2022-05-31,30,369,11235
 Mongolia,1911-12-29,2022-05-31,110,1325,40331
 Montenegro,2006-05-21,2022-05-31,16,192,5854
 Morocco,1944-01-11,2022-05-31,78,940,28630
 Morocco,1955-11-18,2022-05-31,66,798,24301
 Mozambique,1975-06-25,2022-05-31,46,563,17142
 Myanmar,1948-01-04,2022-05-31,74,892,27176
 Namibia,1990-03-21,2022-05-31,32,386,11759
 Nauru,1968-01-31,2022-05-31,54,652,19844
 Netherlands,1581-07-26,2022-05-31,440,5290,161016
 Nicaragua,1821-09-15,2022-05-31,200,2408,73307
 Niger,1960-08-03,2022-05-31,61,741,22581
 Nigeria,1960-10-01,2022-05-31,61,739,22522
 North Macedonia,1991-09-08,2022-05-31,30,368,11223
 Norway,1814-05-17,2022-05-31,208,2496,75985
 Norway,1905-06-07,2022-05-31,116,1403,42727
 Oman,1650-11-18,2022-05-31,371,4458,135699
 Pakistan,1947-08-14,2022-05-31,74,897,27319
 Palestine,1988-11-15,2022-05-31,33,402,12250
 Panama,1821-11-28,2022-05-31,200,2406,73233
 Panama,1903-11-03,2022-05-31,118,1422,43309
 Papua New Guinea,1975-09-16,2022-05-31,46,560,17059
 Peru,1821-07-28,2022-05-31,200,2410,73356
 Philippines,1898-06-12,2022-05-31,123,1487,45278
 Philippines,1946-07-04,2022-05-31,75,910,27725
 Poland,1918-11-11,2022-05-31,103,1242,37822
 Portugal,1640-12-01,2022-05-31,381,4577,139338
